Jan,Feb,Mar,Apr,May,Jun
0.0,0.8095238095238095,0.5858921161825726,0.828125,0.7010309278350515,0.320855614973262
0.0,0.8095238095238095,0.4854771784232365,0.65625,0.5147275405007363,0.3582887700534759
0.00546448087431694,0.8571428571428571,0.12614107883817427,0.0625,0.013991163475699559,0.1336898395721925
0.00546448087431694,0.8571428571428571,0.06307053941908713,0.078125,0.009572901325478644,0.160427807486631
0.01092896174863388,0.47619047619047616,0.23070539419087135,0.234375,0.08321060382916054,0.267379679144385
0.01092896174863388,0.47619047619047616,0.19336099585062239,0.28125,0.08247422680412371,0.2887700534759358
0.01639344262295082,0.42857142857142855,0.8514522821576764,0.8125,0.23858615611192932,0.3796791443850267
0.01639344262295082,0.42857142857142855,0.6356846473029046,0.75,0.1833578792341679,0.3689839572192513
0.02185792349726776,0.047619047619047616,0.061410788381742736,0.125,0.030927835051546386,0.267379679144385
0.02185792349726776,0.047619047619047616,0.043153526970954356,0.125,0.03019145802650957,0.2459893048128342
0.0273224043715847,0.6666666666666666,0.10456431535269708,0.1875,0.03608247422680412,0.2352941176470588
0.0273224043715847,0.6666666666666666,0.08713692946058091,0.171875,0.028718703976435937,0.2352941176470588
0.03278688524590164,0.9523809523809523,0.16099585062240662,0.078125,0.022091310751104563,0.14438502673796788
0.03278688524590164,0.9523809523809523,0.0962655601659751,0.078125,0.01914580265095729,0.1978609625668449
0.03825136612021858,0.0,0.023236514522821577,0.125,0.0022091310751104565,0.2834224598930481
0.03825136612021858,0.0,0.016597510373443983,0.109375,0.0029455081001472753,0.2620320855614973
0.04371584699453552,1.0,0.01825726141078838,0.03125,0.0022091310751104565,0.2032085561497326
0.04371584699453552,1.0,0.014107883817427384,0.03125,0.0022091310751104565,0.213903743315508
0.04918032786885246,0.9523809523809523,0.3244813278008299,0.09375,0.021354933726067747,0.24064171122994651
0.04918032786885246,0.9523809523809523,0.2473029045643153,0.140625,0.01840942562592047,0.25133689839572193
0.0546448087431694,0.047619047619047616,0.08049792531120331,0.109375,0.05596465390279823,0.27807486631016043
0.0546448087431694,0.047619047619047616,0.053112033195020746,0.09375,0.053019145802650956,0.24064171122994651
0.060109289617486336,0.9523809523809523,0.05228215767634855,0.171875,0.011782032400589101,0.5401069518716577
0.060109289617486336,0.9523809523809523,0.04398340248962656,0.140625,0.009572901325478644,0.2887700534759358
0.06557377049180328,0.8095238095238095,0.34605809128630705,0.203125,0.18851251840942562,0.2459893048128342
0.06557377049180328,0.8095238095238095,0.26224066390041495,0.15625,0.14580265095729014,0.24064171122994651
0.07103825136612021,0.047619047619047616,0.09128630705394192,0.09375,0.025036818851251842,0.2032085561497326
0.07103825136612021,0.047619047619047616,0.0821576763485477,0.0625,0.021354933726067747,0.1925133689839572
0.07650273224043716,0.2857142857142857,0.03900414937759336,0.03125,0.0022091310751104565,0.16577540106951869
0.07650273224043716,0.2857142857142857,0.014937759336099584,0.0625,0.0007363770250368188,0.1818181818181818
0.08196721311475409,1.0,0.01825726141078838,0.09375,0.0029455081001472753,0.2192513368983957
0.08196721311475409,1.0,0.015767634854771784,0.09375,0.0022091310751104565,0.213903743315508
0.08743169398907104,0.09523809523809523,0.13029045643153528,0.25,0.038291605301914576,0.320855614973262
0.08743169398907104,0.09523809523809523,0.11120331950207468,0.21875,0.03019145802650957,0.3048128342245989
0.09289617486338798,0.9047619047619047,0.6049792531120333,0.671875,0.3402061855670103,0.3315508021390374
0.09289617486338798,0.9047619047619047,0.5485477178423237,0.625,0.3085419734904271,0.3315508021390374
0.09836065573770492,0.8095238095238095,0.3145228215767635,0.21875,0.18041237113402062,0.24064171122994651
0.09836065573770492,0.8095238095238095,0.23983402489626554,0.140625,0.1480117820324006,0.2459893048128342
